"","box","Laid","Hatch","Fledge","Fail","year","site"
"100","Y19",2023-04-18,2023-05-07,2023-06-11,NA,2023,"Y"
"101","Y30",2023-04-18,2023-05-07,2023-06-11,NA,2023,"Y"
"102","Z14",2023-04-21,2023-05-10,2023-06-13,NA,2023,"Z"
"103","Z19",2023-04-14,2023-05-05,2023-06-09,NA,2023,"Z"
"104","Y10",2023-04-16,2023-05-06,2023-06-11,NA,2023,"Y"
"105","Z41",2023-04-12,2023-05-01,2023-06-04,NA,2023,"Z"
"106","Z03",2023-04-15,2023-05-03,2023-06-06,NA,2023,"Z"
"107","Z39",2023-04-11,2023-05-01,2023-06-07,NA,2023,"Z"
"108","Z17",2023-04-13,2023-05-03,2023-06-06,NA,2023,"Z"
"109","Z45",2023-04-21,2023-05-10,2023-06-16,NA,2023,"Z"
"110","Y08",2023-04-22,2023-05-10,2023-06-13,NA,2023,"Y"
"111","Y04",2023-04-19,2023-05-08,2023-06-13,NA,2023,"Y"
"112","Y11",2023-04-13,2023-05-04,2023-06-07,NA,2023,"Y"
"113","Y24",2023-04-15,2023-05-05,2023-06-07,NA,2023,"Y"
"114","Z15",2023-04-17,2023-05-07,2023-06-13,NA,2023,"Z"
"115","Z13",2023-04-14,2023-05-03,2023-06-03,NA,2023,"Z"
"116","Z06",2023-04-13,NA,NA,2023-04-18,2023,"Z"
"117","X31",2023-04-15,2023-05-05,2023-06-08,NA,2023,"X"
"118","X35",2023-04-19,2023-05-08,2023-06-10,NA,2023,"X"
"119","X38",2023-05-01,NA,NA,2023-05-02,2023,"X"
"120","X25",2023-04-18,2023-05-08,2023-06-11,NA,2023,"X"
"121","X18",2023-04-12,2023-05-02,NA,2023-06-03,2023,"X"
"122","X33",2023-04-15,2023-05-04,2023-06-08,NA,2023,"X"
"123","Y28",2023-04-15,2023-05-05,NA,2023-05-24,2023,"Y"
"124","Y35",2023-04-13,2023-05-02,2023-06-04,NA,2023,"Y"
"125","Z43",2023-04-16,NA,NA,2023-05-09,2023,"Z"
"126","Z16",2023-04-17,2023-05-07,2023-06-14,NA,2023,"Z"
"127","Z23",2023-04-23,2023-05-12,2023-06-17,NA,2023,"Z"
"128","Z29",2023-04-19,2023-05-08,2023-06-14,NA,2023,"Z"
"129","Z08",2023-04-16,2023-05-06,NA,2023-05-13,2023,"Z"
"130","Z05",2023-04-20,2023-05-05,2023-06-09,NA,2023,"Z"
"131","Z02",2023-04-15,NA,NA,2023-05-02,2023,"Z"
"132","Y09",2023-04-19,2023-05-09,NA,2023-05-16,2023,"Y"
"133","Y05",2023-04-16,2023-05-04,2023-06-10,NA,2023,"Y"
"134","Y03",2023-04-17,2023-05-06,2023-06-12,NA,2023,"Y"
"135","Z40",2023-04-19,2023-05-09,2023-06-11,NA,2023,"Z"
"136","Z07",2023-04-16,NA,NA,2023-05-08,2023,"Z"
"137","Z20",2023-04-22,2023-05-10,2023-06-15,NA,2023,"Z"
"138","Y26",2023-04-20,2023-05-09,2023-06-14,NA,2023,"Y"
"139","X22",2023-04-20,2023-05-08,2023-06-11,NA,2023,"X"
"140","X36",2023-04-17,2023-05-06,2023-06-09,NA,2023,"X"
"141","Y02",2023-04-14,2023-05-03,2023-06-07,NA,2023,"Y"
"142","Y18",2023-04-17,2023-05-06,2023-06-13,NA,2023,"Y"
"143","Z18",2023-04-21,2023-05-10,NA,2023-06-11,2023,"Z"
"144","Z24",2023-04-18,2023-05-08,2023-06-12,NA,2023,"Z"
