"","BOX","year","fledglings","fledgling_mass","site","fledgling_massDev"
"176","Y05",2017,2,435,"STITHIANS",-24.3
"177","Y05",2018,2,403.6,"STITHIANS",9.58787878787882
"178","Y05",2019,2,419.8,"STITHIANS",72.9848484848484
"179","Y05",2020,0,457.2,"STITHIANS",108.770588235294
"180","Y05",2021,0,0,"STITHIANS",-239.384848484848
"181","Y05",2022,1,278.9,"STITHIANS",-31.5939393939394
"182","Y05",2023,2,364.7,"STITHIANS",43.209375
"183","Y06",2013,0,0,"STITHIANS",-194.304761904762
"184","Y06",2014,0,0,"STITHIANS",-329.339285714286
"185","Y06",2015,2,491.8,"STITHIANS",-28.4161290322581
"186","Y06",2016,3,620.1,"STITHIANS",177.987878787879
"187","Y06",2017,3,637.4,"STITHIANS",178.1
"188","Y06",2018,0,0,"STITHIANS",-394.012121212121
"189","Y06",2019,2,467.2,"STITHIANS",120.384848484849
"190","Y06",2020,0,380.2,"STITHIANS",31.7705882352941
"191","Y06",2021,0,0,"STITHIANS",-239.384848484848
"192","Y06",2022,2,549,"STITHIANS",238.506060606061
"193","Y06",2023,0,0,"STITHIANS",-321.490625
"194","Y07",2013,2,442.4,"STITHIANS",248.095238095238
"195","Y07",2014,1,270.3,"STITHIANS",-59.0392857142857
"196","Y07",2015,3,732.1,"STITHIANS",211.883870967742
"197","Y07",2016,2,485.2,"STITHIANS",43.0878787878788
"198","Y07",2017,2,457,"STITHIANS",-2.30000000000001
"199","Y07",2018,3,502.2,"STITHIANS",108.187878787879
"200","Y07",2019,1,223.8,"STITHIANS",-123.015151515152
"201","Y07",2020,0,478.1,"STITHIANS",129.670588235294
"202","Y07",2021,2,460,"STITHIANS",220.615151515152
"203","Y07",2022,0,0,"STITHIANS",-310.493939393939
"204","Y07",2023,3,561,"STITHIANS",239.509375
"205","Y07",2024,0,0,"STITHIANS",0
"206","Y08",2013,0,0,"STITHIANS",-194.304761904762
"207","Y08",2014,3,656.7,"STITHIANS",327.360714285714
"208","Y08",2015,3,687.1,"STITHIANS",166.883870967742
"209","Y08",2016,3,680,"STITHIANS",237.887878787879
"210","Y08",2017,3,649.9,"STITHIANS",190.6
"211","Y08",2018,2,455.4,"STITHIANS",61.3878787878788
"212","Y08",2019,2,392.9,"STITHIANS",46.0848484848485
"213","Y08",2020,0,445.6,"STITHIANS",97.1705882352941
"214","Y08",2021,3,591.1,"STITHIANS",351.715151515152
"215","Y08",2022,3,693.1,"STITHIANS",382.606060606061
"216","Y08",2023,3,583.3,"STITHIANS",261.809375
"217","Y09",2013,1,391.1,"STITHIANS",196.795238095238
"218","Y09",2014,3,659.2,"STITHIANS",329.860714285714
"219","Y09",2015,3,691.1,"STITHIANS",170.883870967742
"220","Y09",2016,2,426.5,"STITHIANS",-15.6121212121212
"221","Y09",2017,3,580.8,"STITHIANS",121.5
"222","Y09",2018,2,525.6,"STITHIANS",131.587878787879
"223","Y09",2019,3,692.2,"STITHIANS",345.384848484849
"224","Y09",2020,0,220.3,"STITHIANS",-128.129411764706
"225","Y09",2021,1,198.7,"STITHIANS",-40.6848484848485
"226","Y09",2022,0,0,"STITHIANS",-310.493939393939
"227","Y09",2023,0,0,"STITHIANS",-321.490625
"228","Y09",2024,0,0,"STITHIANS",0
"229","Y10",2013,3,654.1,"STITHIANS",459.795238095238
"230","Y10",2014,3,662.8,"STITHIANS",333.460714285714
"231","Y10",2015,2,400.2,"STITHIANS",-120.016129032258
"232","Y10",2016,2,467.7,"STITHIANS",25.5878787878788
"233","Y10",2017,3,651.2,"STITHIANS",191.9
"234","Y10",2018,2,416.1,"STITHIANS",22.0878787878788
"235","Y10",2019,1,206.3,"STITHIANS",-140.515151515152
"236","Y10",2020,0,545.8,"STITHIANS",197.370588235294
"237","Y10",2021,0,0,"STITHIANS",-239.384848484848
"238","Y10",2022,2,487.7,"STITHIANS",177.206060606061
"239","Y10",2023,1,260.4,"STITHIANS",-61.090625
"240","Y11",2014,0,0,"STITHIANS",-329.339285714286
"241","Y11",2015,3,775.8,"STITHIANS",255.583870967742
"242","Y11",2016,0,0,"STITHIANS",-442.112121212121
"243","Y11",2017,3,708.4,"STITHIANS",249.1
"244","Y11",2018,1,226.3,"STITHIANS",-167.712121212121
"245","Y11",2019,0,0,"STITHIANS",-346.815151515152
"246","Y11",2020,0,372.4,"STITHIANS",23.9705882352941
"247","Y11",2021,2,413,"STITHIANS",173.615151515152
"248","Y11",2022,2,437.9,"STITHIANS",127.406060606061
"249","Y11",2023,3,543.4,"STITHIANS",221.909375
"250","Y12",2014,2,512.1,"STITHIANS",182.760714285714
"251","Y12",2015,3,732.9,"STITHIANS",212.683870967742
"252","Y12",2016,2,402.4,"STITHIANS",-39.7121212121212
"253","Y12",2017,1,214.3,"PENCOOSE",-176.89756097561
"254","Y12",2018,1,246.5,"STITHIANS",-147.512121212121
"255","Y12",2019,1,269.3,"STITHIANS",-77.5151515151515
"256","Y12",2020,0,218.6,"STITHIANS",-129.829411764706
"257","Y12",2021,0,0,"STITHIANS",-239.384848484848
"258","Y12",2022,0,0,"STITHIANS",-310.493939393939
"259","Y12",2023,1,222.9,"STITHIANS",-98.590625
"260","Y13",2014,0,0,"STITHIANS",-329.339285714286
"261","Y14",2014,1,215.5,"STITHIANS",-113.839285714286
"262","Y14",2016,3,522.7,"STITHIANS",80.5878787878788
"263","Y14",2017,1,459.8,"STITHIANS",0.5
"264","Y14",2018,3,499.5,"STITHIANS",105.487878787879
"265","Y14",2019,0,467,"STITHIANS",120.184848484848
"266","Y14",2020,0,504.9,"STITHIANS",156.470588235294
"267","Y14",2021,1,224.4,"STITHIANS",-14.9848484848485
"268","Y14",2022,3,492.3,"STITHIANS",181.806060606061
"269","Y14",2023,0,0,"STITHIANS",-321.490625
"270","Y15",2013,0,0,"STITHIANS",-194.304761904762
"271","Y16",2013,0,0,"STITHIANS",-194.304761904762
"272","Y16",2015,2,438.9,"STITHIANS",-81.3161290322581
"273","Y16",2016,0,207.7,"STITHIANS",-234.412121212121
"274","Y16",2017,2,442.7,"STITHIANS",-16.6
"275","Y16",2018,2,445.8,"STITHIANS",51.7878787878788
"276","Y16",2019,2,461.5,"STITHIANS",114.684848484848
"277","Y16",2020,0,413.4,"STITHIANS",64.9705882352941
"278","Y16",2021,2,483.4,"STITHIANS",244.015151515152
"279","Y16",2022,2,447.4,"STITHIANS",136.906060606061
"280","Y16",2023,0,0,"STIHIANS",0
"281","Y17",2013,0,0,"STITHIANS",-194.304761904762
"282","Y17",2015,3,673.9,"STITHIANS",153.683870967742
"283","Y17",2016,2,429,"STITHIANS",-13.1121212121212
