"","DATE","OBSERVER","ID","BOX","BTO","COMBINATION","RFID.GEN","RFID","CODE","EXACT","SEX","AGE","WING","TARSUS","WEIGHT","HEADBILL","BILL","BP","BLED.CORT","BLED.SEX","FEATHER","PARTNER.ID","MOTHER.ID","FATHER.ID","TIME","COMPANIONS","RFID.WORKS","RFID.CHANGED","AGGR","BITES","WRIG","TONIC","ATTEMPT","MOULT","LOCATION","NOTES","year","known_age","min_age"
"39",2013-04-22,"GM","J81","","EY40841","RMRS",NA,"","RINGED",1,"M","6","237","43.4",NA,"","","N",0,1,1,"","","","30-12-1899 17:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Pencoose",2013,0,13
"40",2013-04-26,"GM","J144","","EY40845","YMGB",NA,"","RINGED",1,"M","5","232","46.5",248,"","","N",0,1,1,"","","","30-12-1899 16:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,1,12
"41",2013-04-26,"GM","J145","","EY40846","RMBZGZ",NA,"","RINGED",1,"M","6","239","45.5",238,"","","N",0,1,1,"J243","","","30-12-1899 16:55:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"42",2013-04-26,"GM","J146","","EY40847","RMRG",NA,"","RINGED",1,"F","6","229","43.6",229,"","","Y",0,1,1,"","","","30-12-1899 17:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Building at box Z11",2013,0,13
"43",2013-04-26,"GM","J147","","EY40848","RMWS",NA,"","RINGED",1,"M","6","239","45.4",NA,"","","N",0,1,1,"","","","30-12-1899 17:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"44",2013-04-26,"GM","J148","","EY40849","RMOG",NA,"","RINGED",1,"F","6","233","43.2",240,"","","Y",0,1,1,"","","","30-12-1899 17:25:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"45",2013-04-26,"GM","J149","","EY40850","RMSS",NA,"","RINGED",1,"F","6","226","45.4",245,"","","Y",0,1,1,"","","","30-12-1899 18:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"46",2013-04-26,"GM","J150","","EY40851","RMGS",NA,"","RINGED",1,"F","6","229","44.6",238,"","","Y",0,1,1,"","","","30-12-1899 18:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Early BP",2013,0,13
"47",2013-04-26,"GM","J151","","EY40852","RMGZO",NA,"","RINGED",1,"F","6","231","44.7",256,"","","Y",0,1,1,"","","","30-12-1899 18:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Vascularised BP. All tail feathers broken.",2013,0,13
"48",2013-04-26,"GM","J152","","EY40853","RMRB",NA,"","RINGED",1,"F","6","231","46.4",233,"","","Y",0,1,1,"","","","30-12-1899 18:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Early BP",2013,0,13
"49",2013-04-26,"GM","J153","","EY40854","RMRW",NA,"010C10C0C4","RINGED",1,"M","6","239","45.5",266,"","","N",0,1,1,"","","","30-12-1899 18:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"50",2013-05-01,"AT","J194","","EY40857","GMBB",NA,"","RINGED",1,"M","6","248","47.7",267,"","","N",0,1,1,"","","","30-12-1899 11:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Eye damaged in trap",2013,0,13
"51",2013-05-01,"AT","J195","","EY40860","GMGZGZ",NA,"","RINGED",1,"M","6","242","41.8",235,"","","N",0,1,1,"","","","30-12-1899 12:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"52",2013-05-01,"GM","J196","","EY40861","GMSW",NA,"","RINGED",1,"M","6","241","45.7",246,"","","N",0,1,1,"","","","30-12-1899 12:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"53",2013-05-01,"AT","J197","","EY40862","YMBG",NA,"","RINGED",1,"M","5","235","44.3",243,"","","N",0,1,1,"","","","30-12-1899 12:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,1,12
"54",2013-05-01,"GM","J198","","EY40863","GMOS",NA,"","RINGED",1,"M","6","239","45.8",252,"","","N",0,1,0,"","","","30-12-1899 12:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"55",2013-05-01,"GM","J199","","EY40864","GMSY",NA,"","RINGED",1,"M","6","238","45.2",258,"","","N",0,1,1,"","","","30-12-1899 12:25:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"56",2013-05-01,"AT","J200","","EY40865","GMYGZ",NA,"","RINGED",1,"M","6","243","47.0",246,"","","N",0,1,1,"","","","30-12-1899 12:40:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"57",2013-05-01,"GM","J201","","EY40866","GMYO",NA,"","RINGED",1,"M","6","235","45.7",268,"","","N",0,1,1,"","","","30-12-1899 12:40:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"58",2013-05-01,"AT","J202","","EY40867","GMWW",NA,"","RINGED",1,"M","6","240","46.0",235,"","","N",0,1,1,"J251","","","30-12-1899 12:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"59",2013-05-01,"GM","J203","","EY40868","GMGZW",NA,"","RINGED",1,"M","6","238","41.4",243,"","","N",0,1,1,"","","","30-12-1899 12:50:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"60",2013-05-01,"AT","J204","","EY40869","YMGS",NA,"","RINGED",1,"F","5","227","42.6",193,"","","N",0,1,1,"","","","30-12-1899 13:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,1,12
"61",2013-05-02,"GM","J205","","EY40870","YMBZGZ",NA,"","RINGED",1,"M","5","229","46.2",228,"","","N",0,1,1,"","","","30-12-1899 12:45:00","",NA,NA,NA,NA,NA,NA,NA,NA,"TRELIEVER","",2013,1,12
"62",2013-05-06,"GM","J212","","EY40871","GMRY",NA,"","RINGED",1,"F","6","225","42.9",215,"","","Y",0,0,1,"J144","","","30-12-1899 13:30:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,0,13
"63",2014-03-07,"GM","J575","","EY69522","XMXX",NA,"","RINGED",1,"F","5","214","41.7",211.8,"","","N",0,1,0,"","","","30-12-1899 14:50:00","0",NA,NA,NA,NA,NA,NA,NA,NA,"CAMPUS","Tame jackdaw. Originally ringed YGBM, rings removed on the 18th March",2014,1,11
"64",2014-04-11,"GM","J576","","EY69523","YBBM",NA,"010C11262B","RINGED",1,"F","5","222","40.3",199,"","","N",0,1,0,"","","","30-12-1899 09:05:00","0",NA,NA,NA,NA,NA,NA,NA,NA,"STITHIANS","Caught with 9 rooks and 1 magpie",2014,1,11
"65",2013-06-05,"GM","J91","Z06","EY40935","BMBY",NA,"010C10EA19","RINGED",1,"F","1","109","41.6",215.1,"","","",0,0,0,"","J241","J271","30-12-1899 12:45:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","",2013,1,11
"66",2013-06-05,"GM","J257","","EY40949","BMWY",NA,"010C1180A0","RINGED",1,"M","1","147","45.8",247.4,"","","",0,1,0,"","","","30-12-1899 13:10:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Single chick from haybarns west peak",2013,1,11
"67",2013-06-05,"GM","J258","","EY40950","BMOP",NA,"010C112145","RINGED",1,"M","1","150","46.9",266.5,"","","",0,1,0,"","J1343","J430","30-12-1899 13:45:00","J259 = sibling",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Haybarn southern bag nest",2013,1,11
"68",2013-06-05,"GM","J259","","EY40951","BMYP",NA,"010C113768","RINGED",1,"F","1","136","41.2",218,"","","",0,1,0,"","","","30-12-1899 13:45:00","J258 = sibling",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Haybarn southern bag nest",2013,1,11
"69",2013-06-05,"GM","J260","","EY40952","BMGP",NA,"010C10ED70","RINGED",1,"M","1","160","47.5",250.1,"","","",0,1,0,"","","","30-12-1899 14:00:00","",NA,NA,NA,NA,NA,NA,NA,NA,"PENCOOSE","Single chick from haybarns middle bag",2013,1,11
