"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"95","MW06","2022-04-15",NA,"M",0,0,0,0,NA,NA,NA
"96","M03","2022-04-15",NA,"M",0,0,0,0,NA,NA,NA
"97","MW01","2022-04-15",NA,"M",0,0,0,0,NA,NA,NA
"98","Z46","2022-04-15",NA,"Z",0,0,-1.02380952380952,0,NA,NA,NA
"99","Z30","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"100","Y27","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"101","Z15","2022-04-16","Incubation","Z",4,0,2.64285714285714,0,NA,NA,NA
"102","Y15","2022-04-16",NA,"Y",0,0,-1.25714285714286,0,NA,NA,NA
"103","Z24","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"104","Z14","2022-04-16","Incubation","Z",4,0,2.64285714285714,0,NA,NA,NA
"105","X33","2022-04-16","Incubation","X",2,0,0.705882352941176,0,NA,NA,NA
"106","Y06","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"107","Y19","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"108","Y25","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"109","X31","2022-04-16","Incubation","X",5,0,3.70588235294118,0,NA,NA,NA
"110","Z06","2022-04-16","Incubation","Z",4,0,2.64285714285714,0,NA,NA,NA
"111","Z20","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"112","X25","2022-04-16","Incubation","X",4,0,2.70588235294118,0,NA,NA,NA
"113","Y01","2022-04-16","Incubation","Y",2,0,0.742857142857143,0,NA,NA,NA
"114","Y18","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"115","Y09","2022-04-16","Incubation","Y",2,0,0.742857142857143,0,NA,NA,NA
"116","Y07","2022-04-16","Incubation","Y",1,0,-0.257142857142857,0,NA,NA,NA
"117","Y29","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"118","Y10","2022-04-16","Incubation","Y",5,0,3.74285714285714,0,NA,NA,NA
"119","X32","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"120","Y28","2022-04-16","Incubation","Y",2,0,0.742857142857143,0,NA,NA,NA
"121","Y02","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"122","Y03","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"123","Y21","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"124","X40","2022-04-16",NA,"X",0,0,-1.29411764705882,0,NA,NA,NA
"125","Z28","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"126","Y17","2022-04-16","Incubation","Y",3,0,1.74285714285714,0,NA,NA,NA
"127","Y05","2022-04-16","Incubation","Y",2,0,0.742857142857143,0,NA,NA,NA
"128","Y20","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"129","Y22","2022-04-16","Pre-Lay","Y",0,0,-1.25714285714286,0,NA,NA,NA
"130","Z19","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"131","X23","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"132","Y16","2022-04-16","Incubation","Y",2,0,0.742857142857143,0,NA,NA,NA
"133","Z11","2022-04-16","Incubation","Z",3,0,1.64285714285714,0,NA,NA,NA
"134","Y08","2022-04-16","Incubation","Y",5,0,3.74285714285714,0,NA,NA,NA
"135","Z07","2022-04-16","Incubation","Z",1,0,-0.357142857142857,0,NA,NA,NA
"136","Z27","2022-04-16","Pre-Lay","Z",0,0,-1.35714285714286,0,NA,NA,NA
"137","X36","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
"138","X38","2022-04-16","Incubation","X",5,0,3.70588235294118,0,NA,NA,NA
"139","X39","2022-04-16","Pre-Lay","X",0,0,-1.29411764705882,0,NA,NA,NA
