"","box","date","phase","site","eggs","chicks","eggDev","chickDev","mean_chick_weight","interpolled","mean_weightDev"
"6718","Z10","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"105.05",-17.4363328006634
"6719","Z23","2022-05-16","Provisioning","Z",0,4,-0.142857142857143,2.16666666666667,NA,"150.820833333333",28.3345005326697
"6720","Y14","2022-05-16","Provisioning","Y",0,4,-0.0285714285714286,2.22857142857143,NA,"73.5222222222222",-43.7359420289855
"6721","X01","2022-05-16",NA,"X",0,0,-0.176470588235294,-1.58823529411765,NA,NA,NA
"6722","X27","2022-05-16","Incubation","X",3,0,2.82352941176471,-1.58823529411765,NA,NA,NA
"6723","X35","2022-05-16","Provisioning","X",0,3,-0.176470588235294,1.41176470588235,NA,"unkown",NA
"6724","Y34","2022-05-16","Provisioning","Y",0,2,-0.0285714285714286,0.228571428571429,64.75,"64.75",-52.5081642512077
"6725","Y13","2022-05-16",NA,"Y",0,0,-0.0285714285714286,-1.77142857142857,NA,NA,NA
"6726","X28","2022-05-16",NA,"X",0,0,-0.176470588235294,-1.58823529411765,NA,NA,NA
"6727","Y24","2022-05-16","Provisioning","Y",0,4,-0.0285714285714286,2.22857142857143,NA,"122.34",5.08183574879232
"6728","Y32","2022-05-16","Provisioning","Y",0,3,-0.0285714285714286,1.22857142857143,NA,"90.95",-26.3081642512077
"6729","Y33","2022-05-16","Provisioning","Y",0,4,-0.0285714285714286,2.22857142857143,NA,"60.225",-57.0331642512077
"6730","Z31","2022-05-16","Fail","Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6731","Z02","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"103.533333333333",-18.9529994673303
"6732","Z08","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"106.316666666667",-16.1696661339963
"6733","Z26","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"103.9",-18.5863328006633
"6734","Z43","2022-05-16","Provisioning","Z",2,1,1.85714285714286,-0.833333333333333,NA,"unkown",NA
"6735","Y35","2022-05-16","Provisioning","Y",0,2,-0.0285714285714286,0.228571428571429,71.7,"71.7",-45.5581642512077
"6736","Z38","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"unkown",NA
"6737","Z18","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"91.3333333333333",-31.15299946733
"6738","Z05","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"177.45",54.9636671993366
"6739","Z29","2022-05-16","Provisioning","Z",0,4,-0.142857142857143,2.16666666666667,NA,"102.183333333333",-20.3029994673304
"6740","Z41","2022-05-16","Fail","Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6741","Z44","2022-05-16","Fail","Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6742","Z16","2022-05-16","Provisioning","Z",1,2,0.857142857142857,0.166666666666667,NA,"150.2",27.7136671993366
"6743","Z17","2022-05-16","Fail","Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6744","Z33","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"63.1916666666667",-59.2946661339966
"6745","Z37","2022-05-16",NA,"Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6746","Z03","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"174.441666666667",51.9553338660037
"6747","Z45","2022-05-16","Provisioning","Z",0,4,-0.142857142857143,2.16666666666667,NA,"113.979166666667",-8.50716613399635
"6748","Z39","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"139.749333333333",17.2630005326697
"6749","Z42","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"unkown",NA
"6750","Z40","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"unkown",NA
"6751","Z21","2022-05-16","Provisioning","Z",0,3,-0.142857142857143,1.16666666666667,NA,"69.455303030303",-53.0310297703603
"6752","Z35","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,NA,"197.658333333333",75.1720005326696
"6753","X20","2022-05-16","Provisioning","X",0,3,-0.176470588235294,1.41176470588235,NA,"59.8170454545455",-36.3910804473303
"6754","X21","2022-05-16","Provisioning","X",0,3,-0.176470588235294,1.41176470588235,NA,"unkown",NA
"6755","X22","2022-05-16","Provisioning","X",0,3,-0.176470588235294,1.41176470588235,NA,"unkown",NA
"6756","MW02","2022-05-16",NA,"M",0,0,0,0,NA,NA,NA
"6757","Z09","2022-05-16","Provisioning","Z",0,2,-0.142857142857143,0.166666666666667,201.1,"201.1",78.6136671993366
"6758","X18","2022-05-16","Provisioning","X",0,2,-0.176470588235294,0.411764705882353,NA,"unkown",NA
"6759","MW06","2022-05-16",NA,"M",0,0,0,0,NA,NA,NA
"6760","M03","2022-05-16",NA,"M",0,0,0,0,NA,NA,NA
"6761","MW01","2022-05-16",NA,"M",0,0,0,0,NA,NA,NA
"6762","Z46","2022-05-16",NA,"Z",0,0,-0.142857142857143,-1.83333333333333,NA,NA,NA
"6763","Z30","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"96.6392156862745",-35.7651192692929
"6764","Y27","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"126.508333333333",-1.52184550353063
"6765","Z15","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6766","Y15","2022-05-17",NA,"Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6767","Z24","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"142.816666666667",10.4123317110996
"6768","Z14","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"189.433333333333",57.0289983777656
"6769","X33","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"unkown",NA
"6770","Y06","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"unkown",NA
"6771","Y19","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6772","Y25","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"88.3083333333333",-39.7218455035303
"6773","X31","2022-05-17","Provisioning","X",0,1,-0.176470588235294,-0.529411764705882,NA,"unkown",NA
"6774","Z06","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6775","Z20","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,68.95,"68.95",-63.4543349555674
"6776","X25","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"unkown",NA
"6777","Y01","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,175.5,"175.5",47.4698211631364
"6778","Y18","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"132.105555555556",4.07537671869238
"6779","Y09","2022-05-17","Fail","Y",1,0,0.971428571428571,-1.71428571428571,NA,NA,NA
"6780","Y07","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6781","Y29","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6782","Y10","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"206.44375",78.4135711631364
"6783","X32","2022-05-17","Provisioning","X",0,1,-0.176470588235294,-0.529411764705882,NA,"unkown",NA
"6784","Y28","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"188.291666666667",60.2614878298034
"6785","Y02","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"103.477777777778",-24.5524010590856
"6786","Y03","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6787","Y21","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6788","X40","2022-05-17",NA,"X",0,0,-0.176470588235294,-1.52941176470588,NA,NA,NA
"6789","Z28","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"30.6276556776557",-101.776679277912
"6790","Y17","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6791","Y05","2022-05-17","Provisioning","Y",0,1,-0.0285714285714286,-0.714285714285714,NA,"140.19",12.1598211631364
"6792","Y20","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6793","Y22","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"126.8",-1.23017883686363
"6794","Z19","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6795","X23","2022-05-17","Fail","X",0,0,-0.176470588235294,-1.52941176470588,NA,NA,NA
"6796","Y16","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"133.933333333333",5.90315449646937
"6797","Z11","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,153,"153",20.5956650444326
"6798","Y08","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"172.75",44.7198211631364
"6799","Z07","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6800","Z27","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"113.466666666667",-18.9376682889004
"6801","X36","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"unkown",NA
"6802","X38","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"141.114285714286",36.3844155844158
"6803","X39","2022-05-17","Provisioning","X",0,3,-0.176470588235294,1.47058823529412,NA,"unkown",NA
"6804","Y26","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"100.588888888889",-27.4412899479746
"6805","Y11","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"146.275",18.2448211631364
"6806","Y12","2022-05-17","Fail","Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6807","Y30","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"133.925",5.89482116313638
"6808","Y31","2022-05-17","Provisioning","Y",0,1,-0.0285714285714286,-0.714285714285714,NA,"62.3",-65.7301788368636
"6809","Y23","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"224.425",96.3948211631364
"6810","Z32","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6811","Z34","2022-05-17",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6812","Z22","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6813","Y04","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"134.55",6.51982116313638
"6814","Z13","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"196.333333333333",63.9289983777656
"6815","Z25","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"104.411111111111",-27.9932238444564
"6816","Z10","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"116.655555555556",-15.7487794000114
"6817","Z23","2022-05-17","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,163.075,"163.075",30.6706650444326
"6818","Y14","2022-05-17","Provisioning","Y",0,4,-0.0285714285714286,2.28571428571429,NA,"83.5833333333333",-44.4468455035303
"6819","X01","2022-05-17",NA,"X",0,0,-0.176470588235294,-1.52941176470588,NA,NA,NA
"6820","X27","2022-05-17","Incubation","X",3,0,2.82352941176471,-1.52941176470588,NA,NA,NA
"6821","X35","2022-05-17","Provisioning","X",0,3,-0.176470588235294,1.47058823529412,NA,"unkown",NA
"6822","Y34","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"81.675",-46.3551788368636
"6823","Y13","2022-05-17",NA,"Y",0,0,-0.0285714285714286,-1.71428571428571,NA,NA,NA
"6824","X28","2022-05-17",NA,"X",0,0,-0.176470588235294,-1.52941176470588,NA,NA,NA
"6825","Y24","2022-05-17","Provisioning","Y",0,4,-0.0285714285714286,2.28571428571429,NA,"130.4",2.36982116313638
"6826","Y32","2022-05-17","Provisioning","Y",0,3,-0.0285714285714286,1.28571428571429,NA,"104.1",-23.9301788368636
"6827","Y33","2022-05-17","Provisioning","Y",0,4,-0.0285714285714286,2.28571428571429,NA,"77.0375",-50.9926788368636
"6828","Z31","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6829","Z02","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"114.966666666667",-17.4376682889004
"6830","Z08","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"119.677777777778",-12.7265571777894
"6831","Z26","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"114.611111111111",-17.7932238444564
"6832","Z43","2022-05-17","Provisioning","Z",2,1,1.95238095238095,-0.80952380952381,NA,"unkown",NA
"6833","Y35","2022-05-17","Provisioning","Y",0,2,-0.0285714285714286,0.285714285714286,NA,"71.525641025641",-56.5045378112226
"6834","Z38","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"unkown",NA
"6835","Z18","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"108.775",-23.6293349555674
"6836","Z05","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,193.1,"193.1",60.6956650444326
"6837","Z29","2022-05-17","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,108.6,"108.6",-23.8043349555674
"6838","Z41","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6839","Z44","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6840","Z16","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,163.05,"163.05",30.6456650444326
"6841","Z17","2022-05-17","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6842","Z33","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,74.2,"74.2",-58.2043349555674
"6843","Z37","2022-05-17",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6844","Z03","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"180.383333333333",47.9789983777656
"6845","Z45","2022-05-17","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,NA,"121.15625",-11.2480849555674
"6846","Z39","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"148.726666666667",16.3223317110996
"6847","Z42","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"unkown",NA
"6848","Z40","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"unkown",NA
"6849","Z21","2022-05-17","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"77.419696969697",-54.9846379858704
"6850","Z35","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"205.116666666667",72.7123317110996
"6851","X20","2022-05-17","Provisioning","X",0,3,-0.176470588235294,1.47058823529412,NA,"68.3454545454545",-36.3844155844157
"6852","X21","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"unkown",NA
"6853","X22","2022-05-17","Provisioning","X",0,3,-0.176470588235294,1.47058823529412,NA,"unkown",NA
"6854","MW02","2022-05-17",NA,"M",0,0,0,0,NA,NA,NA
"6855","Z09","2022-05-17","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"204.916666666667",72.5123317110996
"6856","X18","2022-05-17","Provisioning","X",0,2,-0.176470588235294,0.470588235294118,NA,"unkown",NA
"6857","MW06","2022-05-17",NA,"M",0,0,0,0,NA,NA,NA
"6858","M03","2022-05-17",NA,"M",0,0,0,0,NA,NA,NA
"6859","MW01","2022-05-17",NA,"M",0,0,0,0,NA,NA,NA
"6860","Z46","2022-05-17",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6861","Z30","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"117.43137254902",-33.2614111607996
"6862","Y27","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"160.936111111111",12.9176398179115
"6863","Z15","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6864","Y15","2022-05-19",NA,"Y",0,0,0,-1.65714285714286,NA,NA,NA
"6865","Z24","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"174.294444444444",23.6016607346244
"6866","Z14","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,204,"204",53.3072162901804
"6867","X33","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"unkown",NA
"6868","Y06","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"unkown",NA
"6869","Y19","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6870","Y25","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"105.869444444444",-42.1490268487555
"6871","X31","2022-05-19","Provisioning","X",0,1,-0.176470588235294,-0.352941176470588,NA,"unkown",NA
"6872","Z06","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6873","Z20","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"101.416666666667",-49.2761170431526
"6874","X25","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"unkown",NA
"6875","Y01","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"193.7",45.6815287068005
"6876","Y18","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"146.216666666667",-1.80180462653252
"6877","Y09","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6878","Y07","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6879","Y29","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6880","Y10","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"217.13125",69.1127787068005
"6881","X32","2022-05-19","Provisioning","X",0,1,-0.176470588235294,-0.352941176470588,NA,"unkown",NA
"6882","Y28","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"198.375",50.3565287068005
"6883","Y02","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,127.833333333333,"127.833333333333",-20.1851379598665
"6884","Y03","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6885","Y21","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6886","X40","2022-05-19",NA,"X",0,0,-0.176470588235294,-1.35294117647059,NA,NA,NA
"6887","Z28","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"30.514652014652",-120.178131695168
"6888","Y17","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6889","Y05","2022-05-19","Provisioning","Y",0,1,0,-0.657142857142857,NA,"161.53",13.5115287068005
"6890","Y20","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6891","Y22","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"158.85",10.8315287068005
"6892","Z19","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6893","X23","2022-05-19","Fail","X",0,0,-0.176470588235294,-1.35294117647059,NA,NA,NA
"6894","Y16","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"154.5",6.48152870680047
"6895","Z11","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"161.933333333333",11.2405496235134
"6896","Y08","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"192.427777777778",44.4093064845785
"6897","Z07","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6898","Z27","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"134.911111111111",-15.7816725987086
"6899","X36","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"unkown",NA
"6900","X38","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"158.144444444444",36.3710858585856
"6901","X39","2022-05-19","Provisioning","X",0,3,-0.176470588235294,1.64705882352941,NA,"unkown",NA
"6902","Y26","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"125.611111111111",-22.4073601820885
"6903","Y11","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"169.525",21.5065287068005
"6904","Y12","2022-05-19","Fail","Y",0,0,0,-1.65714285714286,NA,NA,NA
"6905","Y30","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"157.575",9.55652870680046
"6906","Y31","2022-05-19","Provisioning","Y",0,1,0,-0.657142857142857,87.1,"87.1",-60.9184712931995
"6907","Y23","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"231.075",83.0565287068005
"6908","Z32","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6909","Z34","2022-05-19",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6910","Z22","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6911","Y04","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"142.083333333333",-5.93513795986652
"6912","Z13","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"210.516666666667",59.8238829568474
"6913","Z25","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,123.6,"123.6",-27.0927837098196
"6914","Z10","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,139.866666666667,"139.866666666667",-10.8261170431526
"6915","Z23","2022-05-19","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,NA,"188.205555555556",37.5127718457364
"6916","Y14","2022-05-19","Provisioning","Y",0,4,0,2.34285714285714,NA,"103.705555555556",-44.3129157376435
"6917","X01","2022-05-19",NA,"X",0,0,-0.176470588235294,-1.35294117647059,NA,NA,NA
"6918","X27","2022-05-19","Fail","X",3,0,2.82352941176471,-1.35294117647059,NA,NA,NA
"6919","X35","2022-05-19","Provisioning","X",0,3,-0.176470588235294,1.64705882352941,NA,"unkown",NA
"6920","Y34","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"115.525",-32.4934712931995
"6921","Y13","2022-05-19",NA,"Y",0,0,0,-1.65714285714286,NA,NA,NA
"6922","X28","2022-05-19",NA,"X",0,0,-0.176470588235294,-1.35294117647059,NA,NA,NA
"6923","Y24","2022-05-19","Provisioning","Y",0,4,0,2.34285714285714,NA,"146.52",-1.49847129319951
"6924","Y32","2022-05-19","Provisioning","Y",0,3,0,1.34285714285714,NA,"130.4",-17.6184712931995
"6925","Y33","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"106.758333333333",-41.2601379598665
"6926","Z31","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6927","Z02","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"136.458333333333",-14.2344503764866
"6928","Z08","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,146.4,"146.4",-4.29278370981959
"6929","Z26","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,136.033333333333,"136.033333333333",-14.6594503764866
"6930","Z43","2022-05-19","Provisioning","Z",2,1,1.95238095238095,-0.80952380952381,NA,"unkown",NA
"6931","Y35","2022-05-19","Provisioning","Y",0,2,0,0.342857142857143,NA,"71.1769230769231",-76.8415482162764
"6932","Z38","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"unkown",NA
"6933","Z18","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"143.658333333333",-7.0344503764866
"6934","Z05","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"205.05",54.3572162901804
"6935","Z29","2022-05-19","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,NA,"128.288888888889",-22.4038948209306
"6936","Z41","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6937","Z44","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6938","Z16","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"173.8",23.1072162901804
"6939","Z17","2022-05-19","Fail","Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6940","Z33","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"90.55",-60.1427837098196
"6941","Z37","2022-05-19",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6942","Z03","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"192.266666666667",41.5738829568474
"6943","Z45","2022-05-19","Provisioning","Z",0,4,-0.0476190476190476,2.19047619047619,NA,"135.510416666667",-15.1823670431526
"6944","Z39","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"166.681333333333",15.9885496235134
"6945","Z42","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"unkown",NA
"6946","Z40","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"unkown",NA
"6947","Z21","2022-05-19","Provisioning","Z",0,3,-0.0476190476190476,1.19047619047619,NA,"93.3484848484849",-57.3442988613347
"6948","Z35","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"220.033333333333",69.3405496235134
"6949","X20","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"85.4022727272727",-36.3710858585856
"6950","X21","2022-05-19","Provisioning","X",0,1,-0.176470588235294,-0.352941176470588,NA,"unkown",NA
"6951","X22","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"unkown",NA
"6952","MW02","2022-05-19",NA,"M",0,0,0,0,NA,NA,NA
"6953","Z09","2022-05-19","Provisioning","Z",0,2,-0.0476190476190476,0.19047619047619,NA,"212.55",61.8572162901804
"6954","X18","2022-05-19","Provisioning","X",0,2,-0.176470588235294,0.647058823529412,NA,"unkown",NA
"6955","MW06","2022-05-19",NA,"M",0,0,0,0,NA,NA,NA
"6956","M03","2022-05-19",NA,"M",0,0,0,0,NA,NA,NA
"6957","MW01","2022-05-19",NA,"M",0,0,0,0,NA,NA,NA
"6958","Z46","2022-05-19",NA,"Z",0,0,-0.0476190476190476,-1.80952380952381,NA,NA,NA
"6959","Z30","2022-05-20","Provisioning","Z",0,2,-0.0476190476190476,0.238095238095238,NA,"127.827450980392",-31.4037237732204
"6960","Y27","2022-05-20","Provisioning","Y",0,2,0,0.428571428571429,178.15,"178.15",20.5536566332218
