"","site","date","phase"
"299","M",2023-04-04,NA
"300","M",2023-04-05,NA
"301","M",2023-04-06,NA
"302","M",2023-04-07,NA
"303","M",2023-04-08,NA
"304","M",2023-04-09,NA
"305","M",2023-04-10,NA
"306","M",2023-04-11,NA
"307","M",2023-04-12,NA
"308","M",2023-04-13,NA
"309","M",2023-04-14,NA
"310","M",2023-04-15,NA
"311","M",2023-04-16,NA
"312","M",2023-04-17,NA
"313","M",2023-04-18,NA
"314","M",2023-04-19,NA
"315","M",2023-04-20,NA
"316","M",2023-04-21,NA
"317","M",2023-04-22,NA
"318","M",2023-04-23,NA
"319","M",2023-04-24,NA
"320","M",2023-04-25,NA
"321","M",2023-04-26,NA
"322","M",2023-04-27,NA
"323","M",2023-04-28,NA
"324","M",2023-04-29,NA
"325","M",2023-04-30,NA
"326","M",2023-05-01,NA
"327","M",2023-05-02,NA
"328","M",2023-05-03,NA
"329","M",2023-05-04,NA
"330","M",2023-05-05,NA
"331","M",2023-05-06,NA
"332","M",2023-05-07,NA
"333","M",2023-05-08,NA
"334","M",2023-05-09,NA
"335","M",2023-05-10,NA
"336","M",2023-05-11,NA
"337","M",2023-05-12,NA
"338","M",2023-05-13,NA
"339","M",2023-05-14,NA
"340","M",2023-05-15,NA
"341","M",2023-05-16,NA
"342","M",2023-05-17,NA
"343","M",2023-05-18,NA
"344","M",2023-05-19,NA
"345","M",2023-05-20,NA
"346","M",2023-05-21,NA
"347","M",2023-05-22,NA
"348","M",2023-05-23,NA
"349","M",2023-05-24,NA
"350","M",2023-05-25,NA
"351","M",2023-05-26,NA
"352","M",2023-05-27,NA
"353","M",2023-05-28,NA
"354","M",2023-05-29,NA
"355","M",2023-05-30,NA
"356","M",2023-05-31,NA
"357","M",2023-06-01,NA
"358","M",2023-06-02,NA
"359","M",2023-06-03,NA
"360","M",2023-06-04,NA
"361","M",2023-06-05,NA
"362","M",2023-06-06,NA
"363","M",2023-06-07,NA
"364","M",2023-06-08,NA
"365","M",2023-06-09,NA
"366","M",2023-06-10,NA
"367","M",2023-06-11,NA
"368","M",2023-06-12,NA
"369","M",2023-06-13,NA
"370","M",2023-06-14,NA
"371","M",2023-06-15,NA
"372","M",2023-06-16,NA
"373","M",2023-06-17,NA
"374","M",2023-06-18,NA
"375","M",2023-06-19,NA
"376","M",2023-06-20,NA
"377","M",2023-06-21,NA
"378","M",2023-06-22,NA
"379","M",2023-06-23,NA
"380","M",2023-06-24,NA
"381","M",2023-06-25,NA
"382","M",2023-06-26,NA
"383","M",2023-06-27,NA
"384","M",2023-06-28,NA
"385","M",2023-06-29,NA
"386","M",2023-06-30,NA
"387","M",2023-07-01,NA
"388","M",2023-07-02,NA
"389","M",2023-07-03,NA
"390","M",2023-07-04,NA
"391","X",2022-03-29,"Pre-Lay"
"392","X",2022-03-30,"Pre-Lay"
"393","X",2022-03-31,"Pre-Lay"
"394","X",2022-04-01,"Pre-Lay"
"395","X",2022-04-02,"Pre-Lay"
"396","X",2022-04-03,"Pre-Lay"
"397","X",2022-04-04,"Pre-Lay"
"398","X",2022-04-05,"Pre-Lay"
"399","X",2022-04-06,"Pre-Lay"
"400","X",2022-04-07,"Pre-Lay"
"401","X",2022-04-08,"Pre-Lay"
"402","X",2022-04-09,"Pre-Lay"
"403","X",2022-04-10,"Pre-Lay"
"404","X",2022-04-11,"Pre-Lay"
"405","X",2022-04-12,"Pre-Lay"
"406","X",2022-04-13,"Pre-Lay"
"407","X",2022-04-14,"Pre-Lay"
"408","X",2022-04-15,"Pre-Lay"
"409","X",2022-04-16,"Pre-Lay"
"410","X",2022-04-17,"Incubation"
"411","X",2022-04-18,"Incubation"
"412","X",2022-04-19,"Incubation"
"413","X",2022-04-20,"Incubation"
"414","X",2022-04-21,"Incubation"
"415","X",2022-04-22,"Incubation"
"416","X",2022-04-23,"Incubation"
"417","X",2022-04-24,"Incubation"
"418","X",2022-04-25,"Incubation"
"419","X",2022-04-26,"Incubation"
"420","X",2022-04-27,"Incubation"
"421","X",2022-04-28,"Incubation"
"422","X",2022-04-29,"Incubation"
"423","X",2022-04-30,"Incubation"
"424","X",2022-05-01,"Incubation"
"425","X",2022-05-02,"Incubation"
"426","X",2022-05-03,"Incubation"
"427","X",2022-05-04,"Provisioning"
"428","X",2022-05-05,"Provisioning"
"429","X",2022-05-06,"Provisioning"
"430","X",2022-05-07,"Provisioning"
"431","X",2022-05-08,"Provisioning"
"432","X",2022-05-09,"Provisioning"
"433","X",2022-05-10,"Provisioning"
"434","X",2022-05-11,"Provisioning"
"435","X",2022-05-12,"Provisioning"
"436","X",2022-05-13,"Provisioning"
"437","X",2022-05-14,"Provisioning"
"438","X",2022-05-15,"Provisioning"
"439","X",2022-05-16,"Provisioning"
"440","X",2022-05-17,"Provisioning"
"441","X",2022-05-18,"Provisioning"
"442","X",2022-05-19,"Provisioning"
"443","X",2022-05-20,"Provisioning"
"444","X",2022-05-21,"Provisioning"
"445","X",2022-05-22,"Provisioning"
"446","X",2022-05-23,"Provisioning"
